date,supermarket,category,actual_prices,forecasted_prices,min_expected_price,max_expected_price
2024-03-25,Aldi,food_cupboard,1.3811361981063364,1.4082843958261582,1.3551712569810608,1.4613975346712555
2024-03-26,Aldi,food_cupboard,1.375862800565771,1.3885459291574538,1.3190344015649065,1.458057456750001
2024-03-27,Aldi,food_cupboard,1.38493353028065,1.3987961077945998,1.3242979955025527,1.473294220086647
2024-03-28,Aldi,food_cupboard,1.378753644314869,1.3984814190595027,1.3095758732753549,1.4873869648436506
2024-03-29,Aldi,food_cupboard,1.3881263776634827,1.3937453833079434,1.2977717374698932,1.4897190291459936
2024-03-30,Aldi,food_cupboard,1.386326230712711,1.398533410282857,1.2954709213363726,1.5015958992293414
2024-03-31,Aldi,food_cupboard,1.3764128943758573,1.3961798728852033,1.2847868511285274,1.5075728946418792
2024-04-01,Aldi,food_cupboard,1.2659670487106016,1.3961262107587753,1.278758768571744,1.5134936529458065
2024-04-02,Aldi,food_cupboard,1.2575342465753425,1.3973368319599204,1.2733928527179244,1.5212808112019165
2024-04-03,Aldi,food_cupboard,1.2535237388724036,1.3961789097697128,1.2660508102590051,1.5263070092804205
2024-04-04,Aldi,food_cupboard,1.2491020999275888,1.3967159631132604,1.2610342312583402,1.5323976949681806
2024-04-05,Aldi,food_cupboard,1.2556320224719102,1.3967603621527387,1.2553870958185933,1.538133628486884
2024-04-06,Aldi,food_cupboard,1.2404651162790699,1.3964526551353202,1.2497857766865534,1.543119533584087
2024-04-07,Aldi,food_cupboard,1.1996848137535816,1.39673183137352,1.244952477240405,1.548511185506635
2024-04-08,Aldi,food_cupboard,1.2050852272727273,1.3966101343914803,1.2398067759776799,1.5534134928052807
2024-04-09,Aldi,food_cupboard,1.2038935574229692,1.3965918117283023,1.2349962744592133,1.5581873489973912
2024-04-10,Aldi,food_cupboard,1.2191450980392158,1.396669620885029,1.230384277377344,1.5629549643927143
2024-04-11,Aldi,food_cupboard,1.2266015037593985,1.3966025178212425,1.2257548427095388,1.567450192932946
2024-04-12,Aldi,food_cupboard,1.2228878990348924,1.3966298753047501,1.221356413201754,1.5719033374077462
2024-04-13,Aldi,food_cupboard,1.2192410714285715,1.3966361319461846,1.2170294531990042,1.576242810693365
2024-03-25,Aldi,health_products,1.8723015873015874,1.9040544246195767,1.8377876341931183,1.9703212150460352
2024-03-26,Aldi,health_products,1.9417194570135747,1.8748376955218364,1.8078421244818095,1.9418332665618634
2024-03-27,Aldi,health_products,1.9062109375,1.8763662837743582,1.8086497749708588,1.9440827925778577
2024-03-28,Aldi,health_products,1.9387022900763358,1.8829000256093174,1.8144701740086486,1.951329877209986
2024-03-29,Aldi,health_products,1.896420233463035,1.8885043853745906,1.8193685508483144,1.957640219900867
2024-03-30,Aldi,health_products,1.896420233463035,1.8900329736271124,1.820198292835977,1.9598676544182478
2024-03-31,Aldi,health_products,1.8834883720930233,1.8891030026231292,1.8185764000766085,1.95962960516965
2024-04-01,Aldi,health_products,1.8759437751004016,1.8866893437497902,1.8161048374081812,1.9572738500913993
2024-04-02,Aldi,health_products,1.8759437751004016,1.8938232002627513,1.8227908035239733,1.9648555970015293
2024-04-03,Aldi,health_products,1.862429149797571,1.8950585268299394,1.8235810461984725,1.9665360074614062
2024-04-04,Aldi,health_products,1.8953658536585365,1.8953336080383671,1.8234137979135605,1.9672534181631738
2024-04-05,Aldi,health_products,1.8791463414634149,1.89578699243055,1.8234275566992317,1.9681464281618681
2024-04-06,Aldi,health_products,1.8737246963562753,1.897022318997738,1.8242259125594988,1.9698187254359771
2024-04-07,Aldi,health_products,1.8858704453441295,1.8987293234218414,1.8254985536506052,1.9719600931930776
2024-04-08,Aldi,health_products,1.8858704453441295,1.9007209753331662,1.826754940553548,1.9746870101127845
2024-04-09,Aldi,health_products,1.880860655737705,1.9008809237440116,1.8264476487473167,1.9753141987407066
2024-04-10,Aldi,health_products,1.8611065573770493,1.9021725129548142,1.8272749125096228,1.9770701134000055
2024-04-11,Aldi,health_products,1.8593415637860082,1.9036483265123492,1.8282892615091164,1.979007391515582
2024-04-12,Aldi,health_products,1.8656326530612244,1.9050899323673967,1.8292722114581306,1.9809076532766627
2024-04-13,Aldi,health_products,1.92212,1.9063815215781992,1.8301079027471165,1.9826551404092818
2024-03-25,Aldi,fresh_food,2.393127906976744,2.3968243691295994,2.270764687589387,2.522884050669812
2024-03-26,Aldi,fresh_food,2.3913224107665303,2.3975869966966203,2.271503987015619,2.5236700063776216
2024-03-27,Aldi,fresh_food,2.4069873722188815,2.3975869966966203,2.266203072105676,2.5289709212875646
2024-03-28,Aldi,fresh_food,2.385955259975816,2.3975869966966203,2.261107892246091,2.5340661011471495
2024-03-29,Aldi,fresh_food,2.400894117647059,2.3975869966966203,2.2561962039896057,2.538977789403635
2024-03-30,Aldi,fresh_food,2.3809447004608293,2.3975869966966203,2.2514495046796243,2.5437244887136163
2024-03-31,Aldi,fresh_food,2.4248307134220073,2.3975869966966203,2.246852206804847,2.5483217865883936
2024-04-01,Aldi,fresh_food,2.400079510703364,2.3975869966966203,2.242391032849565,2.552782960543676
2024-04-02,Aldi,fresh_food,2.245609756097561,2.3975869966966203,2.238054562674206,2.557119430719035
2024-04-03,Aldi,fresh_food,2.261651090342679,2.3975869966966203,2.233832888913592,2.5613411044796486
