date,supermarket,brand_type,actual_prices,forecasted_prices,min_expected_price,max_expected_price
2024-03-25,Aldi,Own Brand: False,2.259178113037604,2.1971985799515212,2.127886615835258,2.2665105440677844
2024-03-26,Aldi,Own Brand: False,2.2316742493175616,2.205593998382319,2.1361448892155632,2.2750431075490747
2024-03-27,Aldi,Own Brand: False,2.259340861949758,2.206568998133225,2.136892450326534,2.276245545939916
2024-03-28,Aldi,Own Brand: False,2.2471389952692045,2.2075439978841307,2.1376407514326234,2.277447244335638
2024-03-29,Aldi,Own Brand: False,2.2637424681990628,2.2085189976350366,2.1383897853575395,2.2786482099125336
2024-03-30,Aldi,Own Brand: False,2.2637804061593396,2.2094939973859424,2.1391395450402357,2.279848449731649
2024-03-31,Aldi,Own Brand: False,2.2499933377748165,2.2104689971368483,2.1398900235323364,2.2810479707413602
2024-04-01,Aldi,Own Brand: False,2.1810976722957554,2.211443996887754,2.1406412139956355,2.282246779779873
2024-04-02,Aldi,Own Brand: False,2.162010618651893,2.21241899663866,2.141393109699667,2.283444883577653
2024-04-03,Aldi,Own Brand: False,2.15026474686484,2.213393996389566,2.1421457040193435,2.2846422887597884
2024-04-04,Aldi,Own Brand: False,2.1652514484356895,2.214368996140472,2.142898990432659,2.2858390018482844
2024-04-05,Aldi,Own Brand: False,2.1588558352402747,2.2153439958913776,2.1436529625184595,2.287035029264296
2024-04-06,Aldi,Own Brand: False,2.168510783200908,2.2163189956422835,2.1444076139542716,2.2882303773302954
2024-04-07,Aldi,Own Brand: False,2.162004989793604,2.2172939953931894,2.145162938514193,2.2894250522721857
2024-04-08,Aldi,Own Brand: False,2.1631850330823634,2.2182689951440953,2.1459189300668395,2.290619060221351
2024-04-09,Aldi,Own Brand: False,2.1621782628467487,2.219243994895001,2.1466755825733497,2.2918124072166526
2024-04-10,Aldi,Own Brand: False,2.1474319887429645,2.220218994645907,2.1474328900854394,2.2930050992063746
2024-04-11,Aldi,Own Brand: False,2.144237804878049,2.221193994396813,2.148190846743514,2.2941971420501117
2024-04-12,Aldi,Own Brand: False,2.233458470201783,2.2221689941477187,2.1489494467748247,2.295388541520613
2024-04-13,Aldi,Own Brand: False,2.13302560488607,2.2231439938986246,2.149708684491681,2.296579303305568
2024-03-25,Aldi,Own Brand: True,2.697089151450054,2.5358597239361527,2.3186185072324648,2.7531009406398406
2024-03-26,Aldi,Own Brand: True,2.684412081984897,2.5358597239361527,2.310906983143116,2.7608124647291894
2024-03-27,Aldi,Own Brand: True,2.666641386782232,2.5358597239361527,2.3034511936587556,2.7682682542135497
2024-03-28,Aldi,Own Brand: True,2.655182795698925,2.5358597239361527,2.2962272672423647,2.7754921806299406
2024-03-29,Aldi,Own Brand: True,2.6832540540540544,2.5358597239361527,2.289214830097864,2.7825046177744412
2024-03-30,Aldi,Own Brand: True,2.680627705627706,2.5358597239361527,2.2823963281333244,2.789323119738981
2024-03-31,Aldi,Own Brand: True,2.6818054054054055,2.5358597239361527,2.275756509101538,2.795962938770767
2024-04-01,Aldi,Own Brand: True,2.5758042744656917,2.5358597239361527,2.2692820209625126,2.8024374269097927
2024-04-02,Aldi,Own Brand: True,2.4198265895953757,2.5358597239361527,2.26296109609405,2.8087583517782555
2024-04-03,Aldi,Own Brand: True,2.409113185530922,2.5358597239361527,2.2567832999345843,2.814936147937721
2024-04-04,Aldi,Own Brand: True,2.483247962747381,2.5358597239361527,2.2507393286837196,2.8209801191885857
2024-04-05,Aldi,Own Brand: True,2.5030205949656747,2.5358597239361527,2.2448208448421316,2.8268986030301737
2024-04-06,Aldi,Own Brand: True,2.5182924107142854,2.5358597239361527,2.239020342283878,2.832699105588427
2024-04-07,Aldi,Own Brand: True,2.5128329571106094,2.5358597239361527,2.2333310346270143,2.838388413245291
2024-04-08,Aldi,Own Brand: True,2.5128329571106094,2.5358597239361527,2.227746762166438,2.843972685705867
2024-04-09,Aldi,Own Brand: True,2.512607223476298,2.5358597239361527,2.2222619137303,2.8494575341420054
2024-04-10,Aldi,Own Brand: True,2.401298245614035,2.5358597239361527,2.2168713606353787,2.8548480872369266
2024-04-11,Aldi,Own Brand: True,2.4010588235294117,2.5358597239361527,2.211570400527708,2.8601490473445974
2024-04-12,Aldi,Own Brand: True,2.381703877790834,2.5358597239361527,2.206354709358062,2.865364738514243
2024-04-13,Aldi,Own Brand: True,2.4044795321637427,2.5358597239361527,2.2012203000968387,2.8704991477754667
2024-03-25,ASDA,Own Brand: False,6.2503556078591895,6.331956079877937,5.7798111920120165,6.884100967743858
2024-03-26,ASDA,Own Brand: False,6.2297061501112685,6.355702822080443,5.706435815170134,7.004969828990752
2024-03-27,ASDA,Own Brand: False,6.290796150023539,6.355702822080443,5.706435815170134,7.004969828990752
2024-03-28,ASDA,Own Brand: False,6.221307821484912,6.355702822080443,5.706435815170134,7.004969828990752
2024-03-29,ASDA,Own Brand: False,6.250537612635416,6.355702822080443,5.706435815170134,7.004969828990752
2024-03-30,ASDA,Own Brand: False,6.21541054014451,6.355702822080443,5.706435815170134,7.004969828990752
2024-03-31,ASDA,Own Brand: False,6.224822629969419,6.355702822080443,5.706435815170134,7.004969828990752
2024-04-01,ASDA,Own Brand: False,6.196017121891561,6.355702822080443,5.706435815170134,7.004969828990752
2024-04-02,ASDA,Own Brand: False,6.224357409462322,6.355702822080443,5.706435815170134,7.004969828990752
2024-04-03,ASDA,Own Brand: False,6.19673517624088,6.355702822080443,5.706435815170134,7.004969828990752
2024-04-04,ASDA,Own Brand: False,6.23902805813484,6.355702822080443,5.706435815170134,7.004969828990752
2024-04-05,ASDA,Own Brand: False,6.2395786445980725,6.355702822080443,5.706435815170134,7.004969828990752
2024-04-06,ASDA,Own Brand: False,6.274442247236589,6.355702822080443,5.706435815170134,7.004969828990752
2024-04-07,ASDA,Own Brand: False,6.238651633686148,6.355702822080443,5.706435815170134,7.004969828990752
2024-04-08,ASDA,Own Brand: False,6.26589858728557,6.355702822080443,5.706435815170134,7.004969828990752
2024-04-09,ASDA,Own Brand: False,6.283648826386078,6.355702822080443,5.706435815170134,7.004969828990752
2024-04-10,ASDA,Own Brand: False,6.247121404292019,6.355702822080443,5.706435815170134,7.004969828990752
2024-04-11,ASDA,Own Brand: False,6.24087524692296,6.355702822080443,5.706435815170134,7.004969828990752
2024-04-12,ASDA,Own Brand: False,6.263369730057628,6.355702822080443,5.706435815170134,7.004969828990752
2024-04-13,ASDA,Own Brand: False,6.269669680286883,6.355702822080443,5.706435815170134,7.004969828990752
2024-03-25,ASDA,Own Brand: True,4.363878036563987,4.4135002260518785,3.9293248974034976,4.8976755547002595
2024-03-26,ASDA,Own Brand: True,4.347876558603492,4.45291631227666,3.8683876273057693,5.03744499724755
2024-03-27,ASDA,Own Brand: True,4.357795820745217,4.45291631227666,3.8683876273057693,5.03744499724755
2024-03-28,ASDA,Own Brand: True,4.372250501504514,4.45291631227666,3.8683876273057693,5.03744499724755
2024-03-29,ASDA,Own Brand: True,4.3691657313879535,4.45291631227666,3.8683876273057693,5.03744499724755
2024-03-30,ASDA,Own Brand: True,4.355168805282173,4.45291631227666,3.8683876273057693,5.03744499724755
2024-03-31,ASDA,Own Brand: True,4.306281432562866,4.45291631227666,3.8683876273057693,5.03744499724755
2024-04-01,ASDA,Own Brand: True,4.347931470476672,4.45291631227666,3.8683876273057693,5.03744499724755
2024-04-02,ASDA,Own Brand: True,4.375131644934805,4.45291631227666,3.8683876273057693,5.03744499724755
2024-04-03,ASDA,Own Brand: True,4.3863534166982445,4.45291631227666,3.8683876273057693,5.03744499724755
2024-04-04,ASDA,Own Brand: True,4.330412797992472,4.45291631227666,3.8683876273057693,5.03744499724755
2024-04-05,ASDA,Own Brand: True,4.315033860045147,4.45291631227666,3.8683876273057693,5.03744499724755
2024-04-06,ASDA,Own Brand: True,4.315316153362665,4.45291631227666,3.8683876273057693,5.03744499724755
